station,week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,y
1,16,1898,0,0,0,1,9,7,20,19,0,10,19,0,0,0,0,0,0,0,0,0,0,4,3,4,9,6,0,0,5,2,0,0,0,134.0
1,17,1969,0,0,0,0,2,4,5,10,0,13,7,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,56.0
1,18,1955,0,0,0,4,3,15,13,11,0,9,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,76.0
1,19,1956,0,0,0,1,11,6,15,15,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,28.4
1,20,1960,0,0,0,5,2,8,8,16,0,9,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.8
1,21,1866,0,0,0,4,6,21,29,40,0,14,14,0,0,0,0,0,0,0,0,0,0,2,2,0,4,7,0,0,5,2,0,0,0,103.0
1,22,1911,0,0,0,3,5,8,15,27,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,3,0,0,0,0,59.4
1,23,2000,0,0,0,0,0,1,6,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,29.8
1,24,1933,0,0,0,0,10,6,25,24,0,8,6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,111.8
1,26,1990,0,0,0,0,10,2,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13.8
1,28,1886,0,0,0,8,10,14,27,25,0,23,15,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0,0,77.2
1,29,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
1,31,2010,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
1,32,1882,0,0,0,5,13,20,25,26,0,11,13,0,0,0,0,0,0,0,0,0,0,4,4,3,3,2,0,0,5,0,0,0,0,89.8
1,33,1877,0,0,0,4,11,18,21,29,0,19,14,0,0,0,0,0,0,0,0,0,0,5,6,3,6,1,0,0,2,0,0,0,0,139.8
1,35,2005,0,0,0,0,1,2,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
1,36,1887,0,0,0,4,8,12,23,18,0,12,17,0,0,0,0,0,0,0,0,0,0,4,5,6,12,4,0,0,4,0,0,0,0,129.0
1,37,1910,0,0,0,3,10,16,16,21,0,19,11,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,0,0,0,0,0,0,0,77.8
1,38,1869,0,0,0,9,14,24,16,38,0,15,17,0,0,0,0,0,0,0,0,0,0,1,3,2,5,0,0,0,1,2,0,0,0,45.6
1,39,1926,0,0,0,6,9,8,11,17,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,54.6
1,41,1816,0,0,0,3,16,16,41,46,0,34,25,0,0,0,0,0,0,0,0,0,0,2,3,1,9,2,0,0,2,0,0,0,0,102.6
1,44,1857,0,0,0,5,14,20,35,33,0,24,22,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,38.0
1,45,1824,0,0,0,6,15,29,48,48,0,19,17,0,0,0,0,0,0,0,0,0,0,6,1,0,1,2,0,0,0,0,0,0,0,45.4
1,46,1899,0,0,0,5,3,24,13,20,0,10,19,0,0,0,0,0,0,0,0,0,0,4,6,2,6,2,0,0,3,0,0,0,0,47.0
1,47,1910,0,0,0,5,7,21,23,15,0,14,8,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,0,0,4,0,0,0,0,51.6
1,48,1894,0,0,0,10,11,24,22,19,0,17,16,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,19.4
1,49,1942,0,0,0,2,14,10,14,7,0,13,9,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,24.0
1,50,1896,0,0,0,3,7,21,14,32,0,13,13,0,0,0,0,0,0,0,0,0,0,0,2,3,6,2,0,0,2,2,0,0,0,65.4
1,51,1983,0,0,0,0,3,3,4,9,0,6,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0,0,0,30.2
2,13,1978,0,2,2,1,3,4,0,0,3,0,4,0,0,2,2,6,0,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,48.2
2,15,1966,0,1,2,1,1,2,0,2,5,5,2,6,3,6,2,0,3,0,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,82.6
2,16,1955,1,0,0,1,2,2,3,4,2,8,0,1,4,2,2,8,3,3,2,4,4,5,0,0,0,0,0,0,0,0,0,0,0,68.2
2,17,1969,0,1,1,0,5,1,0,0,0,3,1,5,4,4,2,2,3,2,4,2,2,1,3,0,1,0,0,0,0,0,0,0,0,82.8
2,18,2012,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6
2,19,1971,1,3,1,3,3,5,4,1,1,6,2,3,3,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4
2,20,1940,1,1,0,1,1,2,2,5,3,6,6,12,9,2,3,5,2,3,2,1,5,0,1,0,3,0,0,0,0,0,0,0,0,82.8
2,21,1926,2,3,1,2,3,2,8,2,2,2,12,8,12,7,10,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8
2,22,1938,1,1,3,0,3,2,1,3,0,0,6,4,9,9,8,8,3,2,0,4,2,3,0,1,1,2,0,0,0,0,0,2,0,87.4
2,23,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,24,1971,0,2,2,0,2,2,6,6,11,7,2,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6
2,26,2001,3,0,3,0,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6
2,28,1890,4,3,0,2,3,2,10,5,8,13,20,15,13,6,8,2,5,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,65.4
2,29,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2,31,2006,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
2,32,1979,0,0,0,0,1,0,1,1,2,3,3,5,4,6,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
2,33,1976,1,0,1,0,0,0,3,0,1,2,2,2,0,2,1,1,1,0,4,1,4,1,2,2,2,5,2,0,0,0,0,0,0,69.4
2,35,2001,0,0,0,0,0,0,1,0,0,0,2,1,0,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4
2,36,1977,0,0,0,1,0,0,0,1,1,3,0,1,4,6,0,7,2,3,2,0,0,1,0,2,0,1,1,0,2,1,0,0,0,46.4
2,37,1985,0,0,1,0,0,0,1,2,3,2,2,1,2,4,0,1,1,0,1,0,0,0,0,0,1,1,0,2,2,4,0,0,0,30.8
2,38,1942,0,1,0,0,0,0,2,0,3,4,4,7,2,6,11,9,5,5,1,0,1,0,1,0,0,1,3,5,3,0,0,0,0,45.4
2,39,1978,0,0,2,1,1,0,1,3,0,0,1,3,0,3,5,4,3,0,3,1,0,0,0,0,0,0,1,2,4,0,0,0,0,24.8
2,41,1948,0,1,2,0,0,0,0,2,0,2,1,1,5,3,4,9,3,7,5,1,2,0,0,1,1,6,3,5,4,0,0,0,0,86.4
2,44,1964,0,2,0,0,0,0,1,2,3,4,5,4,6,10,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6
2,45,1892,3,1,0,0,2,0,0,0,4,3,9,12,14,6,14,13,11,7,2,3,0,1,0,1,2,1,2,5,2,4,0,2,0,107.0
2,46,1917,0,1,0,0,0,2,0,1,2,6,2,2,5,9,8,12,13,2,0,1,0,0,0,0,1,0,9,10,9,4,0,0,0,109.2
2,47,1933,0,1,1,2,0,0,1,2,2,3,35,0,4,4,6,8,6,0,0,1,1,1,0,1,2,0,1,0,1,0,0,0,0,28.4
2,48,1971,0,0,2,0,2,3,3,2,2,2,1,3,8,2,9,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.4
2,49,2003,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,14.8
2,50,1921,1,0,0,2,1,1,2,3,0,8,2,9,4,21,5,3,6,4,3,1,4,3,1,4,0,1,1,0,3,2,0,0,0,91.8
2,51,1999,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,3,2,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,23.6
3,13,1950,5,3,5,3,4,8,10,3,4,4,5,1,2,2,0,1,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,78.6
3,15,1976,4,0,0,5,5,1,1,2,8,1,2,1,2,2,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13.2
3,16,1926,2,1,2,4,6,2,4,7,9,9,7,7,4,5,5,1,2,4,2,0,2,0,2,0,1,2,0,0,0,0,0,0,0,74.8
3,17,1958,1,3,2,2,3,0,2,7,5,6,3,2,4,2,4,1,0,1,4,1,2,0,0,1,0,2,0,0,0,0,0,0,0,69.2
3,18,1994,3,3,1,1,1,2,2,1,1,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
3,19,1977,9,2,5,2,6,4,1,0,3,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.4
3,20,1968,2,6,4,6,6,1,6,2,2,4,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59.8
3,21,1884,6,2,6,13,3,9,8,12,6,8,3,10,15,10,7,1,5,1,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,79.6
3,22,1914,4,3,2,2,1,5,10,7,3,12,11,13,4,8,4,4,2,0,0,0,0,0,0,1,1,0,1,2,0,2,0,0,0,104.6
3,23,1989,1,5,1,3,3,2,0,1,7,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,24,1970,1,8,4,3,7,4,2,6,1,2,4,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
3,26,1976,0,1,1,1,0,4,2,4,2,7,0,5,2,4,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,22.8
3,28,1953,4,2,0,5,2,5,6,1,3,2,4,5,5,2,5,2,1,2,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,13.6
3,29,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,31,2002,1,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2.8
3,32,1980,1,2,6,2,3,3,0,1,4,0,1,1,0,0,1,0,0,0,1,2,3,2,0,0,2,1,0,0,0,0,0,0,0,7.8
3,33,1937,2,1,3,1,3,2,2,6,4,4,8,10,10,5,5,2,0,0,1,0,2,1,2,1,0,3,0,0,1,0,0,0,0,68.8
3,35,2006,0,1,0,1,3,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
3,36,1964,2,3,1,1,2,5,7,1,4,0,1,0,0,6,0,0,4,0,0,4,0,4,1,1,0,0,1,1,0,3,0,0,0,50.4
3,37,1956,6,2,0,6,1,4,3,2,1,5,0,8,4,6,2,3,1,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,30.8
3,38,1961,2,1,1,1,7,1,4,3,8,5,6,2,3,2,1,2,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,45.4
3,39,1972,1,1,2,0,0,0,0,2,4,2,4,6,3,4,0,5,1,1,0,0,3,0,1,2,2,0,0,0,0,0,0,0,0,17.0
3,41,1981,3,0,0,2,2,3,0,0,2,2,0,3,2,1,6,1,1,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,35.2
3,44,1959,1,1,0,1,4,4,2,2,6,3,6,3,4,8,2,1,1,1,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,8.8
3,45,1864,2,4,3,7,5,5,8,5,10,10,10,18,13,10,5,7,6,5,3,4,1,1,2,2,4,0,0,0,2,0,0,0,0,150.8
3,46,1911,6,3,6,4,2,4,0,2,4,4,3,5,2,1,4,6,1,4,6,3,5,3,5,1,9,4,0,3,2,3,0,0,0,148.6
3,47,1940,5,1,6,6,0,4,5,5,3,4,6,2,3,5,2,3,0,0,1,1,2,4,1,1,2,0,1,3,0,0,0,0,0,54.2
3,48,1932,1,2,4,4,3,8,7,6,9,6,13,8,0,3,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.8
3,49,1960,3,2,5,1,6,5,3,3,2,4,3,0,1,0,5,0,3,3,1,1,2,0,1,1,0,1,0,0,0,0,0,0,0,41.2
3,50,1908,4,2,3,9,2,9,13,4,1,7,5,4,6,4,4,2,3,0,5,1,2,2,3,4,3,0,2,2,2,0,0,0,0,143.2
3,51,1959,4,4,3,3,1,0,1,2,3,3,4,1,5,3,2,3,2,1,1,1,0,1,4,0,1,2,1,1,0,0,0,0,0,55.2
4,13,1910,13,9,6,13,8,10,10,6,5,8,1,5,0,0,2,0,1,3,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,67.4
4,15,1949,0,5,1,5,6,7,3,2,7,5,4,1,8,1,5,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,45.8
4,16,1898,5,1,3,2,3,6,7,7,13,9,12,15,5,3,7,1,3,0,2,1,6,4,3,0,0,0,0,0,0,0,0,0,0,77.7
4,17,1906,2,2,1,7,11,5,3,7,6,9,5,7,10,1,3,3,4,2,0,3,4,2,5,0,1,0,1,4,0,2,0,0,0,127.3
4,18,1972,2,4,3,2,1,2,3,2,2,3,0,2,4,0,2,0,1,3,0,0,0,1,2,2,1,0,1,0,1,0,0,0,0,54.5
4,19,1952,4,6,2,7,4,6,6,3,6,6,1,5,0,1,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.9
4,20,1938,1,3,4,3,1,8,5,5,3,7,7,6,2,5,4,6,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,64.5
4,21,1855,6,10,9,12,8,13,14,8,12,9,16,7,12,5,6,5,1,1,2,0,2,0,0,2,0,0,1,0,0,0,0,0,0,79.6
4,22,1875,7,6,5,9,4,10,6,7,5,8,8,6,15,9,7,6,6,2,0,1,1,1,3,1,4,3,0,0,1,0,0,0,0,104.6
4,23,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,24,1933,3,2,9,8,5,2,6,4,5,6,5,2,4,2,3,2,2,1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,24.0
4,26,1957,3,7,4,7,1,9,6,6,9,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
4,28,1835,3,13,8,13,16,8,15,14,17,13,7,12,7,5,4,2,3,2,1,3,1,2,2,6,3,0,0,0,0,0,1,0,0,142.2
4,29,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,31,1996,2,2,2,3,2,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3.9
4,32,1919,9,1,7,12,9,8,3,3,9,11,4,9,8,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.4
4,33,1868,7,7,3,4,7,7,7,7,17,7,14,7,8,15,5,5,4,0,2,1,2,1,2,2,0,3,2,1,1,0,0,0,0,99.1
4,35,1960,8,16,8,4,3,1,4,0,4,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
4,36,1957,4,6,2,5,4,2,2,1,4,4,3,6,1,1,1,7,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19.1
4,37,1945,2,4,9,7,1,6,1,3,1,8,4,3,3,6,2,6,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,24.6
4,38,1817,11,15,8,10,12,13,6,8,15,19,20,7,11,12,7,3,5,2,0,0,1,0,1,2,2,6,1,1,1,0,0,0,0,55.3
4,39,1918,1,7,2,7,8,7,4,9,2,3,3,5,6,4,1,4,3,5,3,3,0,1,4,0,0,2,4,0,0,0,0,0,0,41.7
4,41,1836,11,10,13,8,6,7,8,3,10,6,15,19,6,7,6,2,6,2,2,2,3,3,3,7,0,5,4,2,4,0,0,0,0,90.1
4,44,1860,11,12,13,7,11,12,16,7,18,9,5,7,7,8,5,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,19.7
4,45,1710,14,10,6,12,20,10,18,12,18,20,29,14,24,14,13,9,14,3,2,0,5,2,3,4,6,5,10,6,3,0,0,0,0,184.4
4,46,1840,4,9,15,10,12,15,14,14,3,14,9,4,8,8,3,2,6,4,0,0,1,0,0,4,4,8,3,1,1,0,0,0,0,90.1
4,47,1919,5,4,3,4,6,4,9,6,6,5,3,5,2,5,1,2,1,0,2,2,3,4,4,2,2,6,1,0,0,0,0,0,0,47.9
4,48,1883,15,15,8,16,9,15,8,12,11,12,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2
4,49,1928,6,7,3,14,1,5,8,11,8,3,1,6,5,1,1,0,1,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,36.9
4,50,1869,6,5,17,2,11,4,8,6,4,10,12,9,6,11,8,4,4,2,2,3,0,2,0,1,3,3,0,1,2,1,0,0,0,130.0
4,51,1929,8,2,3,6,8,9,12,5,1,2,7,2,6,3,2,3,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,47.6
5,13,1927,2,9,11,7,5,15,12,10,1,2,2,4,2,1,0,0,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,45.6
5,15,1930,6,1,2,5,1,8,1,7,1,3,7,1,4,3,3,6,3,2,3,2,1,1,5,3,3,2,1,1,0,0,0,0,0,86.6
5,16,1863,3,5,5,2,7,5,7,9,16,16,10,3,14,10,6,3,3,5,3,1,6,1,2,6,4,1,0,0,0,0,0,0,0,86.4
5,17,1926,1,2,8,4,3,5,4,5,14,9,2,0,6,4,1,2,3,3,0,2,1,3,1,1,2,1,1,0,2,0,0,0,0,84.6
5,18,1945,8,3,2,7,4,3,10,0,3,1,3,2,1,5,2,2,3,3,1,2,4,0,2,0,0,0,0,0,0,0,0,0,0,25.2
5,19,1949,4,4,7,5,2,5,9,6,4,7,3,1,1,1,1,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,0,0,0,31.8
5,20,1952,4,7,5,2,6,9,4,4,2,2,3,4,2,5,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0
5,21,1884,5,4,5,4,7,10,6,3,6,8,9,8,6,8,7,8,5,0,2,3,0,2,2,2,1,4,6,0,1,0,0,0,0,107.4
5,22,1842,10,5,5,6,6,6,2,6,15,15,13,15,14,11,4,4,7,2,3,1,4,5,7,0,2,2,3,1,0,0,0,0,0,99.0
5,23,1994,0,0,0,0,1,0,2,0,0,0,3,0,2,4,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20.6
5,24,1918,2,2,4,2,3,5,9,5,4,7,10,5,6,5,5,4,4,1,2,0,0,0,1,2,4,0,3,1,2,0,0,0,0,104.8
5,26,1968,2,0,4,1,4,0,6,2,3,6,7,4,2,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,29.4
5,28,1825,5,11,4,11,10,13,14,18,13,13,10,6,16,8,6,5,3,4,3,0,1,5,0,0,5,5,0,1,1,0,0,0,0,144.4
5,29,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,31,1994,0,5,3,1,3,3,1,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
5,32,1957,0,1,1,2,1,6,6,4,2,2,1,5,4,2,3,2,3,0,1,2,1,1,5,1,1,2,0,0,0,0,0,0,0,71.0
5,33,1944,3,1,2,3,3,0,5,5,5,2,5,7,9,4,6,2,0,0,4,0,1,2,1,1,0,1,0,0,0,0,0,0,0,52.6
5,35,2002,2,0,0,4,3,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
5,36,1983,0,1,3,2,3,4,3,1,1,2,2,1,1,0,1,2,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,19.2
5,37,1932,3,0,2,3,0,4,2,3,2,5,6,2,4,10,4,5,4,1,2,2,1,4,3,2,1,5,2,2,0,0,0,0,0,91.8
5,38,1921,2,0,2,1,3,5,5,2,3,5,4,6,8,8,7,7,8,3,0,4,3,4,0,2,0,0,1,0,2,0,0,0,0,70.6
5,39,1940,0,2,7,2,3,0,3,5,1,2,3,6,3,5,4,5,1,6,2,1,0,3,4,3,0,1,4,0,0,0,0,0,0,67.6
5,41,1892,0,3,0,1,6,4,3,1,5,5,5,7,11,4,7,8,4,4,4,6,6,5,1,7,9,8,0,0,0,0,0,0,0,77.6
5,44,1910,3,1,1,1,3,2,5,4,5,5,15,8,4,7,5,8,6,1,4,6,3,3,0,0,2,1,1,0,1,0,1,0,0,82.2
